Type,Additional_Tag,Series,PLN,Image_URL,ID,Make,Model,BodyStyle,Powertrain,EngineConfig,Displacement_L,Battery_kWh,Power_hp,Torque_Nm,Transmission,Gears,DriveType,Accel_0_100_kmh_s,TopSpeed_kmh,Length_mm,Width_mm,Height_mm,Wheelbase_mm,CurbWeight_kg,Seats,FuelTank_L_or_Battery_kWh,Cargo_L,WheelSize_in,TireSize,FrontSuspension,RearSuspension,FrontBrakes,RearBrakes,Model_Family,Body_Type,Variant,Segment,Data_Completeness
SUV,Oferta,X7,Od 535 000 zł,https://prod.cosy.bmw.cloud/bmwweb/cosySec?COSY-EU-100-7331cqgv2Z7d%25i02uCaY3MuO2kdGmT35sgXA9bQq10tfnZ1oEiyCIbH8aGDmIqQmSTKL6ifG70qbX0x1RCzPhe00JkyyXqcfbYZ9Whc91kUrOpTSXB3GZ5gscCZ6B4Mrt3mFILoub0TmvayRCzjlCO2kOHUtWPfbYfFd1v10tq3D%25eqxWAbbH82LARzL1b%25IC672yzH3OYgMTNIcmmlD9Uwmu1R7Gq3A89RbfKYmUrOpQhRVAfoUMA8ZobMsayjnt61agOybyxKnvIT9T8lO2B3i3axIjedwduZBDMztiD5eqhk7wXMMLoACtcGhJHFl7Ltou%25KXC17HSfWQlEW%25V1Pa2ZsfNEbnjhr10s9ODo6E4riIqH0scZwBLGYrxRteJESZ857MulIRUgChZD75GvloReCgp2XH5MGv6jQ%25gZk2YDafvR6jmqn12VbDyLOEjZKqTJIsDRzL3uBrqAVJdSeZL%25tuzVMRJfsSkNh5uHVVA0ogSx5NF4HvVAo0Kc%252Ny04WxfjR6KcP81D5w1xbUEqgty89GsLv79UiprJ2CAGw6Zujl5ptYRSDUH67m5Vd49YCygNzaUmlTv0kn%25yX324AO1TQdjcFs73azDxKe6dnkq8WKJzOALUP%25skIFJGb7fABKup9CIFeWS6fmlKMPVYPwdWhbNmb3rPo90y9QIbHi4Tir29%25wc3wz5iftxdtkVw178z7CvtECUkClz7slGAZ9CCrXpFqtllZQ6KLAw,SUV-X7,BMW,X7,SUV,Diesel,Inline-6,3.0,,352,700,Automatic,8,AWD,5.9,245,5181,2000,1835,3105,2490,7,80.0,750,21,285/45R21,Double Wishbone,Multi-link,Vented Disc,Vented Disc,X7,SUV,Base,SUV,Partial
SUV,Oferta,X7,Od 535 000 zł,https://prod.cosy.bmw.cloud/bmwweb/cosySec?COSY-EU-100-7331cqgv2Z7d%25i02uCaY3MuO2kdGmT35sgXA9bQq10tfnZ1oEiyCIbH8aGDmIqQmSTKL6ifG70qbX0x1RCzPhe00JkyyXqcfbYZ9Whc91kUrOpTSXB3GZ5gscCZ6B4Mrt3mFILoub0TmvayRCzjlCO2kOHUtWPfbYfFd1v10tq3D%25eqxWAbbH82LARzL1b%25IC672yzH3OYgMTNIcmmlD9Uwmu1R7Gq3A89RbfKYmUrOpQhRVAfoUMA8ZobMsayjnt61agOybyxKnvIT9T8lO2B3i3axIjedwduZBDMztiD5eqhk7wXMMLoACtcGhJHFl7Ltou%25KXC17HSfWQlEW%25V1Pa2ZsfNEbnjhr10s9ODo6E4riIqH0scZwBLGYrxRteJESZ857MulIRUgChZD75GvloReCgp2XH5MGv6jQ%25gZk2YDafvR6jmqn12VbDyLOEjZKqTJIsDRzL3uBrqAVJdSeZL%25tuzVMRJfsSkNh5uHVVA0ogSx5NF4HvVAo0Kc%252Ny04WxfjR6KcP81D5w1xbUEqgty89GsLv79UiprJ2CAGw6Zujl5ptYRSDUH67m5Vd49YCygNzaUmlTv0kn%25yX324AO1TQdjcFs73azDxKe6dnkq8WKJzOALUP%25skIFJGb7fABKup9CIFeWS6fmlKMPVYPwdWhbNmb3rPo90y9QIbHi4Tir29%25wc3wz5iftxdtkVw178z7CvtECUkClz7slGAZ9CCrXpFqtllZQ6KLAw,SUV-X7,BMW,X7,SUV,Petrol,V8,4.4,,523,750,Automatic,8,AWD,4.7,250,5181,2000,1835,3105,2485,7,83.0,750,21,285/45R21,Double Wishbone,Multi-link,Vented Disc,Vented Disc,X7,SUV,Base,SUV,Partial
SUV,Oferta,X5,Od 410 000 zł,https://prod.cosy.bmw.cloud/bmwweb/cosySec?COSY-EU-100-7331cqgv2Z7d%25i02uCaY3MuO2kdGmT35sgXA9bQN10tfnZ1oEiyCIbH8aGDmIqQmSTKL6ifG70qbX0x1RCzPhe00JkyyXqcfbYZ9Whc91kUrOpTSXB3GZ5gscCZ6B4Mrt3mFILoub0TmvayRCzjlCO2kOHUtWPfbYfQJ7T10tq3D%25eqxWAbbH82LARzL1b%25IC672yzH3OYgMTNIkfmlD9Uwmu1R7Gq3A89RbfKYmUrOpQhRVAfoUMA8ZobMsayjnt61agOybyJmnvIT9PS4O2B3ibvRIjedw9hbBDMztioCeqhk7wHeMLoACRO%25hJHFl5Ixou%25KXg0KHSfWQv48%25V1Pa2oDfNEbnjQp10s9Of5bE4riI1aYscZwBEnirxRtesOcZ857Mr1TRUgChZE85GvloRLFgp2XH51zv6jQ%25gEy2YDafv3Ljmqn12vaDyLOEjk0qTJIsDoiL3uBrqH1JdSeZLhuuzVMRJ4sSkNh5ucRVA0ogSkhNF4HvrFP0Kc%252Zq84WxfjRiWcP81D50BxbUEqYeF89GsLmCNUiprJymRGw6ZuTneptYRS3FO67m5VdKtYCygNO4W,SUV-X5,BMW,X5,SUV,Diesel,Inline-6,3.0,,298,670,Automatic,8,AWD,6.1,233,4935,2004,1765,2975,2245,5,80.0,650,20,275/45R20,Double Wishbone,Multi-link,Vented Disc,Vented Disc,X5,SUV,Base,SUV,Partial
SUV,Oferta,X5,Od 410 000 zł,https://prod.cosy.bmw.cloud/bmwweb/cosySec?COSY-EU-100-7331cqgv2Z7d%25i02uCaY3MuO2kdGmT35sgXA9bQN10tfnZ1oEiyCIbH8aGDmIqQmSTKL6ifG70qbX0x1RCzPhe00JkyyXqcfbYZ9Whc91kUrOpTSXB3GZ5gscCZ6B4Mrt3mFILoub0TmvayRCzjlCO2kOHUtWPfbYfQJ7T10tq3D%25eqxWAbbH82LARzL1b%25IC672yzH3OYgMTNIkfmlD9Uwmu1R7Gq3A89RbfKYmUrOpQhRVAfoUMA8ZobMsayjnt61agOybyJmnvIT9PS4O2B3ibvRIjedw9hbBDMztioCeqhk7wHeMLoACRO%25hJHFl5Ixou%25KXg0KHSfWQv48%25V1Pa2oDfNEbnjQp10s9Of5bE4riI1aYscZwBEnirxRtesOcZ857Mr1TRUgChZE85GvloRLFgp2XH51zv6jQ%25gEy2YDafv3Ljmqn12vaDyLOEjk0qTJIsDoiL3uBrqH1JdSeZLhuuzVMRJ4sSkNh5ucRVA0ogSkhNF4HvrFP0Kc%252Zq84WxfjRiWcP81D50BxbUEqYeF89GsLmCNUiprJymRGw6ZuTneptYRS3FO67m5VdKtYCygNO4W,SUV-X5,BMW,X5,SUV,Plug-in Hybrid,Inline-6,3.0,25.7,483,700,Automatic,8,AWD,4.8,250,4935,2004,1765,2975,2445,5,69.0,500,20,275/45R20,Double Wishbone,Multi-link,Vented Disc,Vented Disc,X5,SUV,Base,SUV,Full
SUV,Oferta,X5,Od 410 000 zł,https://prod.cosy.bmw.cloud/bmwweb/cosySec?COSY-EU-100-7331cqgv2Z7d%25i02uCaY3MuO2kdGmT35sgXA9bQN10tfnZ1oEiyCIbH8aGDmIqQmSTKL6ifG70qbX0x1RCzPhe00JkyyXqcfbYZ9Whc91kUrOpTSXB3GZ5gscCZ6B4Mrt3mFILoub0TmvayRCzjlCO2kOHUtWPfbYfQJ7T10tq3D%25eqxWAbbH82LARzL1b%25IC672yzH3OYgMTNIkfmlD9Uwmu1R7Gq3A89RbfKYmUrOpQhRVAfoUMA8ZobMsayjnt61agOybyJmnvIT9PS4O2B3ibvRIjedw9hbBDMztioCeqhk7wHeMLoACRO%25hJHFl5Ixou%25KXg0KHSfWQv48%25V1Pa2oDfNEbnjQp10s9Of5bE4riI1aYscZwBEnirxRtesOcZ857Mr1TRUgChZE85GvloRLFgp2XH51zv6jQ%25gEy2YDafv3Ljmqn12vaDyLOEjk0qTJIsDoiL3uBrqH1JdSeZLhuuzVMRJ4sSkNh5ucRVA0ogSkhNF4HvrFP0Kc%252Zq84WxfjRiWcP81D50BxbUEqYeF89GsLmCNUiprJymRGw6ZuTneptYRS3FO67m5VdKtYCygNO4W,SUV-X5,BMW,X5,SUV,Petrol,Inline-6,3.0,,375,520,Automatic,8,AWD,5.3,250,4935,2004,1765,2975,2230,5,83.0,650,20,275/45R20,Double Wishbone,Multi-link,Vented Disc,Vented Disc,X5,SUV,Base,SUV,Partial
SUV,Oferta,X3,Od 263 500 zł,https://prod.cosy.bmw.cloud/bmwweb/cosySec?COSY-EU-100-7331cqgv2Z7d%25i02uCaY3MuO2kdGmT35sgXAsbDz10tfnZ1oEiyCIbH8aGDmIqQmSTKL6ifG70qbX0x1RCzPhe00JkyyXqcfbYZ9Whc91kUrOpTSXB3GZ5gscCZ6B4Mrt3mFILoub0TmvayRCzjlCO2kOHUtWPfbYfv2sd10tq3D%25eqxWAbbH82LARzL1b%25IC672yzH3OYgMTNIcomlD9Uwmu1R7Gq3A89RbfKYmUrOpQhRVAfoUMA8ZobMsayjnt61agOybyxKnvIT9T8lO2B3i3UOIjedwdn8BDMztia0eqhk7wqgMLoACtEqhJHFl7LIou%25KXC17HSfWQlER%25V1Pa2ZsfNEbnjhL10s9ODoZE4riIq49scZwBL1FrxRteJQrZ857MulfRUgChZD25GvloRedgp2XH5Mlv6jQ%25gZp2YDafvYijmqn12mIDyLOEjyBqTJIsDxgL3uBrq8TJdSeZLimuzVMRJW8SkNh5uPUVA0ogSElNF4HvV8N0Kc%252Ny04WxfjRWkcP81D5YWxbUEqgup89GsLv7XUiprJ2ChGw6ZujoeptYRSDUW67m5Vd49YCygNzK7mlTv0knGyX324AOfTQdjcFAq3azDxKo1dnkq8WwHzOALUoPXkIFJGHxXABKup%25QQFeWS6fgKKMPVY1p2WhbNmEipPo90y97kbHi4TizA9%25wc3wqSiftxdtTyw178z75qtECUkCF27slGAlK4CrXpFXsSlZQ6KQD6XRaYWgBwQ5nmPv7aagOyb2V7nvIT9jqhO2B3iDLoIjedwq2XBDMztLjoeqhk7JDUMLoACuqwhJHFlR%25m,SUV-X3,BMW,X3,SUV,Petrol,Inline-4,2.0,,248,350,Automatic,8,AWD,6.3,235,4708,1891,1676,2864,1890,5,65.0,550,19,245/50R19,Double Joint Spring,Multi-link,Vented Disc,Vented Disc,X3,SUV,Base,SUV,Partial
SUV,Oferta,X3,Od 263 500 zł,https://prod.cosy.bmw.cloud/bmwweb/cosySec?COSY-EU-100-7331cqgv2Z7d%25i02uCaY3MuO2kdGmT35sgXAsbDz10tfnZ1oEiyCIbH8aGDmIqQmSTKL6ifG70qbX0x1RCzPhe00JkyyXqcfbYZ9Whc91kUrOpTSXB3GZ5gscCZ6B4Mrt3mFILoub0TmvayRCzjlCO2kOHUtWPfbYfv2sd10tq3D%25eqxWAbbH82LARzL1b%25IC672yzH3OYgMTNIcomlD9Uwmu1R7Gq3A89RbfKYmUrOpQhRVAfoUMA8ZobMsayjnt61agOybyxKnvIT9T8lO2B3i3UOIjedwdn8BDMztia0eqhk7wqgMLoACtEqhJHFl7LIou%25KXC17HSfWQlER%25V1Pa2ZsfNEbnjhL10s9ODoZE4riIq49scZwBL1FrxRteJQrZ857MulfRUgChZD25GvloRedgp2XH5Mlv6jQ%25gZp2YDafvYijmqn12mIDyLOEjyBqTJIsDxgL3uBrq8TJdSeZLimuzVMRJW8SkNh5uPUVA0ogSElNF4HvV8N0Kc%252Ny04WxfjRWkcP81D5YWxbUEqgup89GsLv7XUiprJ2ChGw6ZujoeptYRSDUW67m5Vd49YCygNzK7mlTv0knGyX324AOfTQdjcFAq3azDxKo1dnkq8WwHzOALUoPXkIFJGHxXABKup%25QQFeWS6fgKKMPVY1p2WhbNmEipPo90y97kbHi4TizA9%25wc3wqSiftxdtTyw178z75qtECUkCF27slGAlK4CrXpFXsSlZQ6KQD6XRaYWgBwQ5nmPv7aagOyb2V7nvIT9jqhO2B3iDLoIjedwq2XBDMztLjoeqhk7JDUMLoACuqwhJHFlR%25m,SUV-X3,BMW,X3,SUV,Plug-in Hybrid,Inline-4,2.0,19.7,292,420,Automatic,8,AWD,6.1,210,4708,1891,1676,2864,2065,5,50.0,450,19,245/50R19,Strut,Multi-link,Vented Disc,Vented Disc,X3,SUV,Base,SUV,Full
SUV,Oferta,X3,Od 263 500 zł,https://prod.cosy.bmw.cloud/bmwweb/cosySec?COSY-EU-100-7331cqgv2Z7d%25i02uCaY3MuO2kdGmT35sgXAsbDz10tfnZ1oEiyCIbH8aGDmIqQmSTKL6ifG70qbX0x1RCzPhe00JkyyXqcfbYZ9Whc91kUrOpTSXB3GZ5gscCZ6B4Mrt3mFILoub0TmvayRCzjlCO2kOHUtWPfbYfv2sd10tq3D%25eqxWAbbH82LARzL1b%25IC672yzH3OYgMTNIcomlD9Uwmu1R7Gq3A89RbfKYmUrOpQhRVAfoUMA8ZobMsayjnt61agOybyxKnvIT9T8lO2B3i3UOIjedwdn8BDMztia0eqhk7wqgMLoACtEqhJHFl7LIou%25KXC17HSfWQlER%25V1Pa2ZsfNEbnjhL10s9ODoZE4riIq49scZwBL1FrxRteJQrZ857MulfRUgChZD25GvloRedgp2XH5Mlv6jQ%25gZp2YDafvYijmqn12mIDyLOEjyBqTJIsDxgL3uBrq8TJdSeZLimuzVMRJW8SkNh5uPUVA0ogSElNF4HvV8N0Kc%252Ny04WxfjRWkcP81D5YWxbUEqgup89GsLv7XUiprJ2ChGw6ZujoeptYRSDUW67m5Vd49YCygNzK7mlTv0knGyX324AOfTQdjcFAq3azDxKo1dnkq8WwHzOALUoPXkIFJGHxXABKup%25QQFeWS6fgKKMPVY1p2WhbNmEipPo90y97kbHi4TizA9%25wc3wqSiftxdtTyw178z75qtECUkCF27slGAlK4CrXpFXsSlZQ6KQD6XRaYWgBwQ5nmPv7aagOyb2V7nvIT9jqhO2B3iDLoIjedwq2XBDMztLjoeqhk7JDUMLoACuqwhJHFlR%25m,SUV-X3,BMW,X3,SUV,Diesel,Inline-4,2.0,,190,400,Automatic,8,AWD,7.9,213,4708,1891,1676,2864,1885,5,65.0,550,19,245/50R19,Strut,Multi-link,Vented Disc,Vented Disc,X3,SUV,Base,SUV,Partial
SUV,Oferta,iX2,Od 232 500 zł,https://prod.cosy.bmw.cloud/bmwweb/cosySec?COSY-EU-100-7331cqgv2Z7d%25i02uCaY3MuO2kdGmT35sgXAebDq10tfnZ1oEiyCIbH8aGDmIqQmSTKL6ifG70qbX0x1RCzPhe00JkyyXqcfbYZ9Whc91kUrOpTSXB3GZ5gscCZ6B4Mrt3mFILoub0TmvayRCzjlCO2kOHUtWPfbYfvsUT10tq3D%25eqxWAbbH82LARzL1b%25IC672yzH3OYgMTNIk1mlD9Uwmu1R7Gq3A89RbfKYmUrOpQhRVAfoUMA8ZobMsayjnt61agOybyW0nvIT9TPTO2B3i3bXIjedwd9UBDMztzi6eqhk7kwqMLoACA5shJHFl7xpou%25KXC1YHSfWQvCU%25V1Pa2MsfNEbnjNP10s9OD%25LE4riIqp3scZwBEcSrxRtesx%25Z857MrFxRUgChZu15GvloRm3gp2XH504v6jQ%25gBq2YDafvJijmqn12cCDyLOEju5qTJIsHRSL3uBr%25ABJdSeZfq6uzVMRcsmSkNh5xWqVA0og8x%25NF4HvUmt0Kc%252w5d4WxfjtW%25cP81D7kkxbUEqCB889GsLlDMUiprJt90Gw6Zu7im,SUV-iX2,BMW,iX2,SUV,Electric,,,64.8,313,494,Single-speed,1,AWD,5.6,180,4554,1845,1560,2692,2020,5,64.8,525,19,245/45R19,Strut,Multi-link,Vented Disc,Vented Disc,iX2,SUV,Base,SUV,Partial
SUV,Oferta,iX1,Od 223 500 zł,https://prod.cosy.bmw.cloud/bmwweb/cosySec?COSY-EU-100-7331cqgv2Z7d%25i02uCaY3MuO2kdGmT35sgXAdb7a10tfnZ1oEiyCIbH8aGDmIqQmSTKL6ifG70qbX0x1RCzPhe00JkyyXqcfbYZ9Whc91kUrOpTSXB3GZ5gscCZ6B4Mrt3mFILoub0TmvayRCzjlCO2kOHUtWPfbYfGIxG10tq3D%25eqxWAbbH82LARzL1b%25IC672yzH3OYgMTNiMQmlD9Uwmu1R7Gq3A89RbfKYmUrOpQhRVAfoUMA8ZobMsayjnt61agOybyW0nvIT9PvrO2B3ibVcIjedw9hbBDMztioUeqhk7BnDMLoACe6qhJHFlMgvou%25KXhJ8HSfWQouq%25V1PaH2kfNEbn%25rM10s9OlgNE4riIXfOscZwBvhVrxRte2pfZ857Mj6ARUgChDYK5GvloqPcgp2XHLdXv6jQ%25jJr2YDafDsZjmqn1qiCDyLOELrlqTJIsJywL3uBruWh,SUV-iX1,BMW,iX1,SUV,Electric,,,64.7,308,494,Single-speed,1,AWD,5.6,180,4500,1845,1642,2692,2085,5,64.7,490,18,225/55R18,Strut,Multi-link,Vented Disc,Vented Disc,iX1,SUV,Base,SUV,Partial
